Datum	Baden-Württemberg	Bayern	Berlin	Brandenburg	Bremen	Hamburg	Hessen	Mecklenburg-Vorpommern	Niedersachsen	Nordrhein-Westfalen	Rheinland-Pfalz	Saarland	Sachsen	Sachsen-Anhalt	Schleswig-Holstein	Thüringen	Deutschland
2020-06-04	148	386	168	24	113	14	195	4	330	554	52	21	31	8	33	81	2.162
2020-06-05	131	369	187	22	123	25	172	4	354	576	57	19	21	8	27	63	2.158
2020-06-06	138	362	175	18	109	24	141	5	408	585	68	16	22	12	15	62	2.160
2020-06-07	133	297	184	16	89	26	138	12	416	594	71	22	19	12	13	63	2.105
2020-06-08	147	284	176	23	96	22	131	13	436	594	77	22	26	12	11	60	2.130
2020-06-09	162	305	200	24	96	21	159	13	485	633	79	22	30	12	10	73	2.324
2020-06-10	156	322	200	20	100	24	154	16	452	656	94	29	30	10	10	76	2.349
2020-06-11	167	336	204	40	101	17	161	15	424	694	95	29	29	17	12	80	2.421
2020-06-12	160	289	199	25	75	21	148	16	384	635	67	31	23	15	15	78	2.181
2020-06-13	153	273	254	29	68	22	131	14	339	599	56	27	21	15	13	69	2.083
2020-06-14	123	270	269	28	71	21	115	8	332	600	50	24	17	37	10	78	2.053
2020-06-15	110	249	301	31	60	25	107	8	336	634	50	23	18	48	9	74	2.083
2020-06-16	148	253	318	31	60	25	119	10	323	654	39	15	17	51	8	71	2.142
2020-06-17	145	235	296	43	59	26	118	9	263	692	33	8	11	47	9	71	2.065
2020-06-18	132	201	292	40	54	22	137	9	293	752	44	7	17	71	7	59	2.137
2020-06-19	135	215	370	44	53	17	188	11	277	1.069	53	8	39	84	13	49	2.625
2020-06-20	139	217	452	45	55	19	217	9	240	1.200	61	9	61	92	14	46	2.876
2020-06-21	129	228	455	45	56	19	217	10	210	1.638	64	10	61	84	15	39	3.280
2020-06-22	109	233	472	50	56	25	214	9	344	1.860	71	10	60	74	17	41	3.645
2020-06-23	170	246	522	54	61	24	242	7	337	1.969	64	9	59	75	15	45	3.899
2020-06-24	175	251	506	48	46	28	235	7	293	2.018	57	7	77	68	15	31	3.862
2020-06-25	184	250	465	53	34	21	197	4	291	1.715	56	6	50	50	18	26	3.420
2020-06-26	195	272	414	51	32	25	193	5	253	1.656	54	5	38	44	13	27	3.277
2020-06-27	212	295	327	40	23	28	159	5	212	1.664	63	4	32	26	13	25	3.128
2020-06-28	178	296	317	29	17	24	169	8	192	1.532	56	6	23	26	13	19	2.905
2020-06-29	167	318	305	31	14	36	163	8	204	1.516	68	7	18	19	11	19	2.904
2020-06-30	206	336	286	35	9	40	175	9	223	1.412	72	6	19	15	17	18	2.878
2020-07-01	231	373	240	32	14	34	153	9	194	1.343	81	6	13	15	21	16	2.775
2020-07-02	240	384	237	24	15	30	184	7	188	1.282	88	6	16	14	23	18	2.756
2020-07-03	222	390	219	27	17	27	170	6	167	1.209	107	6	11	14	29	21	2.642
2020-07-04	190	373	224	29	16	24	166	5	150	1.138	103	4	16	12	30	18	2.498
2020-07-05	156	340	248	29	17	25	168	3	138	1.106	93	3	15	10	30	21	2.402
2020-07-06	145	387	263	30	18	18	182	3	129	1.068	88	3	13	17	35	23	2.422
2020-07-07	185	429	221	29	17	19	193	2	153	959	85	3	11	22	34	26	2.388
2020-07-08	168	452	226	31	12	19	190	1	146	930	64	5	13	21	34	27	2.339
2020-07-09	170	459	213	29	13	16	191	1	123	940	47	5	13	22	28	29	2.299
2020-07-10	185	453	205	22	13	15	202	0	121	888	55	7	12	25	24	21	2.248
2020-07-11	199	469	195	20	14	16	189	0	97	857	56	7	14	24	24	22	2.203
2020-07-12	177	417	184	17	11	15	212	0	96	864	69	6	14	33	21	21	2.157
2020-07-13	173	458	183	17	11	14	209	0	81	863	85	6	14	23	17	20	2.174
2020-07-14	208	454	168	15	12	11	219	0	73	918	99	13	13	22	31	18	2.274
2020-07-15	223	437	151	17	10	7	201	0	84	889	118	15	12	21	35	17	2.237
2020-07-16	244	478	130	18	13	8	215	1	86	859	142	15	15	23	34	23	2.304
2020-07-17	228	481	123	19	13	6	217	1	92	1.026	141	15	13	29	34	26	2.464
2020-07-18	266	461	115	21	20	10	222	2	127	1.065	143	12	14	24	46	30	2.578
2020-07-19	242	409	126	17	29	13	210	2	135	1.060	126	10	12	29	48	28	2.496
