Datum	Baden-Württemberg	Bayern	Berlin	Brandenburg	Bremen	Hamburg	Hessen	Mecklenburg-Vorpommern	Niedersachsen	Nordrhein-Westfalen	Rheinland-Pfalz	Saarland	Sachsen	Sachsen-Anhalt	Schleswig-Holstein	Thüringen	Deutschland
2021-01-02	14.522	21.108	4.687	4.552	579	2.189	8.454	1.487	7.112	22.169	4.829	957	13.892	3.545	2.156	5.221	117.459
2021-01-03	14.266	20.621	4.443	4.462	556	2.180	8.437	1.459	7.114	22.030	4.822	895	13.425	3.826	2.248	5.310	116.094
2021-01-04	14.301	20.858	4.618	4.295	552	2.027	8.397	1.472	7.282	21.620	4.825	855	13.153	4.003	2.272	5.364	115.894
2021-01-05	13.836	21.018	4.260	3.616	547	1.882	8.244	1.552	7.057	20.990	4.699	859	12.165	3.878	2.240	5.159	112.002
2021-01-06	13.769	18.224	4.287	3.626	502	2.085	8.161	1.551	6.109	20.699	4.512	779	10.673	3.456	2.216	5.218	105.867
2021-01-07	11.232	15.971	4.492	3.428	504	2.084	7.939	1.656	6.050	20.928	4.403	887	10.987	3.503	2.297	4.958	101.319
2021-01-08	12.404	17.915	5.538	5.369	501	2.172	8.268	1.740	6.758	22.912	4.743	1.265	12.118	3.955	2.417	5.480	113.555
2021-01-09	13.830	19.416	6.730	6.158	558	2.496	9.294	1.998	8.114	25.564	5.455	1.521	13.809	4.064	2.796	6.172	127.975
2021-01-10	15.412	20.474	6.978	5.890	613	2.575	10.167	2.134	8.768	26.937	5.426	1.714	14.563	3.574	2.956	6.698	134.879
2021-01-11	15.806	21.171	6.849	6.338	619	2.585	10.223	2.157	9.490	26.924	5.673	1.655	14.652	4.733	2.895	6.746	138.516
2021-01-12	15.381	20.840	6.873	6.519	588	2.347	9.887	2.074	9.146	26.667	5.709	1.819	13.921	5.216	2.853	6.948	136.788
2021-01-13	14.397	19.390	6.737	5.791	570	2.210	9.430	1.964	8.639	25.445	5.418	1.741	12.395	5.096	2.734	6.916	128.873
2021-01-14	14.803	20.944	6.620	5.353	572	2.123	8.859	1.876	7.975	23.542	5.000	1.580	11.907	5.289	2.683	6.621	125.747
2021-01-15	14.555	20.469	6.103	5.553	536	1.929	8.584	1.899	7.431	22.968	4.858	1.379	11.158	5.336	2.627	6.136	121.521
2021-01-16	13.665	19.449	5.791	5.086	545	1.836	8.106	1.862	7.889	21.919	4.655	1.174	10.416	5.148	2.535	5.724	115.800
2021-01-17	12.318	18.598	5.886	5.193	588	2.011	8.164	1.909	7.317	22.084	4.366	1.091	10.287	4.954	2.502	5.851	113.119
2021-01-18	13.164	17.121	5.889	5.196	590	1.813	8.130	1.953	7.788	21.710	3.970	1.062	9.974	5.001	2.575	5.849	111.785
2021-01-19	12.479	17.867	5.058	5.685	567	1.724	7.855	1.911	7.849	21.122	4.357	1.047	9.189	4.651	2.537	5.467	109.365
2021-01-20	11.637	16.823	4.713	5.266	535	1.586	7.605	1.803	7.221	20.286	4.115	1.092	7.862	4.494	2.594	5.072	102.704
2021-01-21	10.979	15.715	4.245	5.126	522	1.527	7.499	1.824	7.216	19.851	4.144	1.074	7.572	4.286	2.565	4.801	98.946
2021-01-22	10.684	15.082	4.118	4.902	551	1.523	7.488	1.732	7.095	19.273	4.095	1.100	6.887	4.051	2.667	4.660	95.908
2021-01-23	10.161	14.277	3.851	4.564	540	1.464	7.259	1.703	7.111	19.028	4.141	1.069	6.879	4.480	2.675	4.470	93.672
2021-01-24	10.020	14.250	4.028	4.221	512	1.514	7.093	1.710	6.846	18.824	3.938	1.101	6.807	4.340	2.794	4.429	92.427
2021-01-25	9.992	14.046	4.029	4.315	507	1.660	7.023	1.713	6.756	18.679	4.087	1.111	6.979	4.484	2.733	4.343	92.457
2021-01-26	9.656	13.654	3.731	4.061	518	1.555	6.814	1.650	6.682	18.381	4.104	1.101	6.553	4.298	2.606	4.145	89.509
2021-01-27	9.083	12.692	3.313	3.800	529	1.393	6.604	1.665	6.020	17.437	3.992	1.075	5.742	3.988	2.685	3.935	83.953
2021-01-28	8.770	12.737	3.273	3.818	496	1.550	6.263	1.618	6.104	16.712	3.687	1.058	5.292	3.818	2.717	3.714	81.627
2021-01-29	8.411	12.311	3.105	3.535	504	1.306	5.936	1.587	5.741	16.160	3.530	1.091	5.349	3.645	2.606	3.664	78.481
2021-01-30	8.287	11.957	3.033	3.403	561	1.522	5.712	1.559	5.651	15.421	2.773	1.109	5.082	3.548	2.440	3.509	75.567
2021-01-31	8.235	11.847	3.088	3.159	566	1.512	5.811	1.504	5.750	15.300	3.209	1.203	4.889	3.149	2.304	3.504	75.030
2021-02-01	8.244	12.070	3.134	3.116	567	1.487	5.780	1.458	6.063	15.494	3.355	1.247	4.924	2.883	2.326	3.437	75.585
2021-02-02	8.280	12.077	2.968	3.111	570	1.401	5.685	1.436	6.074	15.008	3.341	1.203	4.880	3.186	2.309	3.340	74.869
2021-02-03	7.843	10.952	2.655	2.830	606	1.103	5.523	1.300	5.193	14.553	3.025	1.118	4.293	2.789	1.995	3.177	68.955
2021-02-04	7.461	10.906	2.641	2.678	587	1.201	5.427	1.381	4.923	13.850	2.880	1.231	4.077	2.697	2.014	3.165	67.119
2021-02-05	7.094	10.712	2.630	2.455	612	1.175	5.280	1.399	5.491	13.938	2.753	1.158	4.096	2.607	1.945	3.121	66.466
2021-02-06	6.871	10.336	2.482	2.327	555	1.148	5.102	1.353	5.364	13.527	2.684	1.142	3.966	2.548	1.849	3.072	64.326
2021-02-07	6.753	10.001	2.531	2.253	532	1.173	5.074	1.364	5.304	13.165	2.463	1.140	3.890	2.496	1.871	2.885	62.895
2021-02-08	6.748	10.066	2.620	2.220	554	1.186	5.042	1.356	5.524	12.988	2.496	1.108	4.080	2.494	1.784	2.943	63.209
2021-02-09	6.615	9.801	2.274	2.204	542	1.148	4.840	1.322	5.384	12.057	2.581	1.081	3.716	2.328	1.807	2.877	60.577
2021-02-10	6.395	9.102	2.062	2.003	469	1.083	4.510	1.240	4.782	12.034	2.360	998	3.085	2.053	1.755	2.616	56.547
2021-02-11	6.237	8.342	2.063	1.992	453	1.073	4.137	1.140	4.710	11.252	2.262	834	3.034	1.848	1.750	2.253	53.380
2021-02-12	5.927	8.197	2.119	1.932	444	1.066	3.945	1.072	4.814	10.640	2.152	718	2.892	1.733	1.786	2.259	51.696
